"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1143
2021,8,"Nou Barris",54,"Torre Baró","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",394
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1535
2021,8,"Nou Barris",56,"Vallbona","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",192
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1294
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",401
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1722
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",6390
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3393
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1561
2021,9,"Sant Andreu",63,"Navas","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2534
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3986
2021,10,"Sant Martí",65,"el Clot","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2850
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1378
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",519
2021,10,"Sant Martí",68,"el Poblenou","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2886
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",977
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3198
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2304
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3228
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3838
2021,1,"Ciutat Vella",1,"el Raval","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3861
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1882
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1509
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",2218
2021,2,"Eixample",5,"el Fort Pienc","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3914
2021,2,"Eixample",6,"la Sagrada Família","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",6164
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",5024
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",5056
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",6769
2021,2,"Eixample",10,"Sant Antoni","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",4330
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3971
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",75
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3209
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1152
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1663
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",2122
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",2747
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",4683
2021,4,"Les Corts",19,"les Corts","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",5551
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",2828
2021,4,"Les Corts",21,"Pedralbes","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1462
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",530
