Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Superfície (ha),superficie_km2
2018,6,Gràcia,28,Vallcarca i els Penitents,121.4,1.2140000000000002
2018,6,Gràcia,29,el Coll,35.3,0.353
2018,6,Gràcia,30,la Salut,64.8,0.648
2018,6,Gràcia,31,la Vila de Gràcia,132.1,1.321
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65.1,0.6509999999999999
2018,7,Horta-Guinardó,33,el Baix Guinardó,56.2,0.562
2018,7,Horta-Guinardó,34,Can Baró,38.4,0.384
2018,7,Horta-Guinardó,35,el Guinardó,130.9,1.3090000000000002
2018,7,Horta-Guinardó,36,la Font d'en Fargues,65.7,0.657
2018,7,Horta-Guinardó,37,el Carmel,94.0,0.9400000000000001
2018,7,Horta-Guinardó,38,la Teixonera,33.8,0.33799999999999997
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,171.8,1.7180000000000002
2018,7,Horta-Guinardó,40,Montbau,205.5,2.055
2018,7,Horta-Guinardó,41,la Vall d'Hebron,74.5,0.745
2018,7,Horta-Guinardó,42,la Clota,17.8,0.17800000000000002
2018,7,Horta-Guinardó,43,Horta,307.1,3.071
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,56.4,0.564
2018,8,Nou Barris,45,Porta,83.7,0.8370000000000001
2018,8,Nou Barris,46,el Turó de la Peira,35.4,0.354
2018,8,Nou Barris,47,Can Peguera,11.9,0.11900000000000001
2018,8,Nou Barris,48,la Guineueta,61.2,0.612
2018,8,Nou Barris,49,Canyelles,79.0,0.79
2018,8,Nou Barris,50,les Roquetes,64.3,0.643
2018,8,Nou Barris,51,Verdun,23.7,0.237
2018,8,Nou Barris,52,la Prosperitat,59.1,0.5910000000000001
2018,8,Nou Barris,53,la Trinitat Nova,57.7,0.5770000000000001
2018,8,Nou Barris,54,Torre Baró,174.2,1.742
2018,8,Nou Barris,55,Ciutat Meridiana,37.7,0.37700000000000006
2018,8,Nou Barris,56,Vallbona,60.8,0.608
2018,9,Sant Andreu,57,la Trinitat Vella,81.0,0.81
2018,9,Sant Andreu,58,Baró de Viver,23.0,0.23
2018,9,Sant Andreu,59,el Bon Pastor,186.8,1.868
2018,9,Sant Andreu,60,Sant Andreu,186.5,1.865
2018,9,Sant Andreu,61,la Sagrera,98.6,0.986
2018,9,Sant Andreu,62,el Congrés i els Indians,40.9,0.409
2018,9,Sant Andreu,63,Navas,42.4,0.424
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,74.1,0.741
2018,10,Sant Martí,65,el Clot,69.7,0.6970000000000001
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,112.2,1.122
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,92.5,0.925
2018,10,Sant Martí,68,el Poblenou,156.7,1.567
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,120.3,1.203
2018,10,Sant Martí,70,el Besòs i el Maresme,118.6,1.186
2018,10,Sant Martí,71,Provençals del Poblenou,108.6,1.086
2018,10,Sant Martí,72,Sant Martí de Provençals,73.4,0.7340000000000001
2018,10,Sant Martí,73,la Verneda i la Pau,112.7,1.127
2019,1,Ciutat Vella,1,el Raval,110.0,1.1
2019,1,Ciutat Vella,2,el Barri Gòtic,81.6,0.816
2019,1,Ciutat Vella,3,la Barceloneta,109.5,1.095
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",111.0,1.11
2019,2,Eixample,5,el Fort Pienc,92.9,0.929
2019,2,Eixample,6,la Sagrada Família,104.2,1.042
2019,2,Eixample,7,la Dreta de l'Eixample,212.0,2.12
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,122.8,1.228
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,134.1,1.341
2019,2,Eixample,10,Sant Antoni,80.4,0.804
2019,3,Sants-Montjuïc,11,el Poble Sec,458.5,4.585
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1403.4,14.034
2019,3,Sants-Montjuïc,13,la Marina de Port,126.9,1.2690000000000001
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,29.7,0.297
2019,3,Sants-Montjuïc,15,Hostafrancs,41.0,0.41000000000000003
2019,3,Sants-Montjuïc,16,la Bordeta,57.2,0.5720000000000001
2019,3,Sants-Montjuïc,17,Sants - Badal,41.5,0.41500000000000004
2019,3,Sants-Montjuïc,18,Sants,109.5,1.095
2019,4,Les Corts,19,les Corts,141.0,1.41
2019,4,Les Corts,20,la Maternitat i Sant Ramon,191.5,1.915
2019,4,Les Corts,21,Pedralbes,268.5,2.685
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1132.9,11.329
2019,5,Sarrià-Sant Gervasi,23,Sarrià,304.7,3.047
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,78.8,0.788
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,223.4,2.234
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,166.9,1.669
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,84.8,0.848
2019,6,Gràcia,28,Vallcarca i els Penitents,125.1,1.251
2019,6,Gràcia,29,el Coll,35.3,0.353
2019,6,Gràcia,30,la Salut,64.8,0.648
2019,6,Gràcia,31,la Vila de Gràcia,132.1,1.321
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65.1,0.6509999999999999
2019,7,Horta-Guinardó,33,el Baix Guinardó,56.2,0.562
2019,7,Horta-Guinardó,34,Can Baró,38.4,0.384
2019,7,Horta-Guinardó,35,el Guinardó,130.9,1.3090000000000002
2019,7,Horta-Guinardó,36,la Font d'en Fargues,65.7,0.657
2019,7,Horta-Guinardó,37,el Carmel,94.0,0.9400000000000001
2019,7,Horta-Guinardó,38,la Teixonera,33.8,0.33799999999999997
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,168.1,1.681
2019,7,Horta-Guinardó,40,Montbau,205.5,2.055
2019,7,Horta-Guinardó,41,la Vall d'Hebron,74.5,0.745
2019,7,Horta-Guinardó,42,la Clota,17.8,0.17800000000000002
2019,7,Horta-Guinardó,43,Horta,307.0,3.0700000000000003
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,56.4,0.564
2019,8,Nou Barris,45,Porta,83.7,0.8370000000000001
2019,8,Nou Barris,46,el Turó de la Peira,35.4,0.354
2019,8,Nou Barris,47,Can Peguera,11.9,0.11900000000000001
2019,8,Nou Barris,48,la Guineueta,61.2,0.612
2019,8,Nou Barris,49,Canyelles,79.0,0.79
2019,8,Nou Barris,50,les Roquetes,64.3,0.643
2019,8,Nou Barris,51,Verdun,23.7,0.237
2019,8,Nou Barris,52,la Prosperitat,59.1,0.5910000000000001
2019,8,Nou Barris,53,la Trinitat Nova,57.7,0.5770000000000001
2019,8,Nou Barris,54,Torre Baró,174.2,1.742
